Store No.,Name,Latitude,Longitude,Address,Street,City,State,Zip_Code,County,Provider,Category,Population,Fast Food Density
69537,M&n Tobacco Discount Store *3,35.2207,-89.8924,"5125 Yale Rd, Memphis, TN, 38114",5125 Yale Rd,Memphis,TN,38114,Shelby,Hunt Brothers Pizza,Food Chains,924454.0,0.0007680209074761967
70721,Soddy Food King,35.288255,-85.163401,"229 Depot Street, Soddy Daisy, TN, 37379",229 Depot Street,Soddy Daisy,TN,37379,Hamilton,Hunt Brothers Pizza,Food Chains,369135.0,0.00093732645238192
64426,Kwik Sak *631,35.9715,-86.5097,"406 S Lowry St, Smyrna, TN, 37167",406 S Lowry St,Smyrna,TN,37167,Rutherford,Hunt Brothers Pizza,Food Chains,352182.0,0.0008319562044624654
70608,A&b Ck Food Mart,35.1106,-89.9909,"2134 Lamar Avenue, Memphis, TN, 38114",2134 Lamar Avenue,Memphis,TN,38114,Shelby,Hunt Brothers Pizza,Food Chains,924454.0,0.0007680209074761967
69738,Western Park Food Market,35.0311,-90.0779,"4315 South Third Street, Memphis, TN, 38109",4315 South Third Street,Memphis,TN,38109,Shelby,Hunt Brothers Pizza,Food Chains,924454.0,0.0007680209074761967
12874,Perkins Express,35.046,-89.9084,"3761 S Perkins St, Memphis, TN, 38114",3761 S Perkins St,Memphis,TN,38114,Shelby,Hunt Brothers Pizza,Food Chains,924454.0,0.0007680209074761967
54699,Exxon Food And Fuel,36.3109,-86.6479,"1082 W Main St, Hendersonville, TN, 37075",1082 W Main St,Hendersonville,TN,37075,Sumner,Hunt Brothers Pizza,Food Chains,200557.0,0.0007080281416255728
8103,First Check Llc (Pp100),35.0498,-89.8673,"5895 Winchester Rd, Memphis, TN, 38115",5895 Winchester Rd,Memphis,TN,38115,Shelby,Hunt Brothers Pizza,Food Chains,924454.0,0.0007680209074761967
54712,Laverte's Market,36.1622,-86.8516,"1313 51st Ave North, Nashville, TN, 37209",1313 51st Ave North,Nashville,TN,37209,Davidson,Hunt Brothers Pizza,Food Chains,703953.0,0.000869376222560313
73908,Sudden Service 8087,36.1793,-86.301,"924 Murfreesboro Rd, Lebanon, TN, 37090",924 Murfreesboro Rd,Lebanon,TN,37090,Wilson,Hunt Brothers Pizza,Food Chains,151917.0,0.0008754780570969674
67848,Two Way Stop,35.9636,-86.6753,"7207 Nolensville Road, Nolensville, TN, 37135",7207 Nolensville Road,Nolensville,TN,37135,Williamson,Hunt Brothers Pizza,Food Chains,255735.0,0.0009345611668328544
69644,M & N Tobacco Discount,35.0354,-90.0085,"1669 E Raines Rd, Memphis, TN, 38116",1669 E Raines Rd,Memphis,TN,38116,Shelby,Hunt Brothers Pizza,Food Chains,924454.0,0.0007680209074761967
69755,Amg Raines Mini Mart,35.0353,-90.0902,"782 Raines Rd, Memphis, TN, 38109",782 Raines Rd,Memphis,TN,38109,Shelby,Hunt Brothers Pizza,Food Chains,924454.0,0.0007680209074761967
69659,Airways Express Gas,35.0146,-89.9902,"4907 Airways Boulevard, Memphis, TN, 38116",4907 Airways Boulevard,Memphis,TN,38116,Shelby,Hunt Brothers Pizza,Food Chains,924454.0,0.0007680209074761967
29434,Hwy 100 Market & Deli,36.0275,-87.0092,"8993 Hwy 100, Nashville, TN, 37221",8993 Hwy 100,Nashville,TN,37221,Davidson,Hunt Brothers Pizza,Food Chains,703953.0,0.000869376222560313
54710,K & K Market,36.2185,-86.8063,"2700 Whites Creek Pike, Nashville, TN, 37207",2700 Whites Creek Pike,Nashville,TN,37207,Davidson,Hunt Brothers Pizza,Food Chains,703953.0,0.000869376222560313
