FIPS,State,County,Health Outcomes Z Score ,Health Outcomes Rank ,Health Factors Z Score ,Health Factors Rank ,Length of Life Z Score,Length of Life Rank,Quality of Life Z Score,Quality of Life Rank,Health Behaviors Z Score,Health Behaviors Rank,Clinical Care Z Score,Clinical Care Rank,Social Economic Factors Z Score,Social Economic Factors Rank,Physical Environment Z Score,Physical Environment Rank,Years of Potential Life Lost Rate, Fair or Poor Health,Average Number of Physically Unhealthy Days,Average Number of Mentally Unhealthy Days,Poor mental health days 95 CI Low, Smokers,Adult smoking 95 CI Low, Adults with Obesity,Adult obesity 95 CI Low,Food Environment Index, Physically Inactive,Physically inactive 95 CI Low, With Access to Exercise Opportunities, Excessive Drinking,Excessive drinking 95 CI Low, Completed High School,High School Completion 95 CI Low, Some College, Some College, Unemployed, Unemployed, Children in Poverty,Children in Poverty 95 CI Low
47093,Tennessee,Knox,-0.924694958,13,-0.954001443,2,-0.322063281,24,-0.602631677,4,-0.270581006,4,-0.315671476,2,-0.408293445,5,0.040544484,80,9208.8665848,19.17683271,4.302701576,5.1729595508,4.7396648574,19.133932084,15.728850444,29.1,26.2,7.5,21.9,19.5,83.561146252,19.477711113,18.596322342,91.71503992,91.261109976,87109,72.478491671,7137,2.8985448387,15.7,12.60212766
47095,Tennessee,Lake,1.0906158282,86,1.1985509808,95,0.4457214817,82,0.6448943466,90,0.363544322,95,0.1588866578,87,0.7079767276,95,-0.031856727,18,11872.348389,30.445911546,5.9587995176,5.7858279399,5.3862769558,30.890243195,27.467642444,34.9,21.0,6.9,31.7,19.1,23.046475996,15.290484673,14.332203586,72.93366442,68.732672234,699,29.744680851,101,5.6773468241,40.0,24.629787234
47097,Tennessee,Lauderdale,1.1072598276,87,1.0185261514,94,0.1821566024,68,0.9251032251,95,0.3608010914,94,0.1337652434,84,0.4586767294,90,0.0652830873,90,10958.029306,30.211082218,6.1601990903,5.9070284115,5.5507449456,29.643961792,26.719474025,47.4,38.1,6.6,36.0,28.6,32.921085745,13.525891877,12.842174551,77.078639027,75.094934082,2441,34.482271507,532,5.4318970798,24.8,15.268085106
47099,Tennessee,Lawrence,0.049774651,51,0.0740666345,51,0.002742765,51,0.047031886,55,0.0645758747,66,0.0009445421,45,0.0182742242,48,-0.009728006,39,10335.634184,25.090366214,5.4561999939,5.8394024107,5.3916907784,27.507263526,23.917658858,37.2,30.6,7.7,41.7,34.7,56.359120113,15.908216944,14.881908183,83.386997328,81.938955097,4637,45.93363051,792,4.075751338,22.6,15.45106383
47101,Tennessee,Lewis,0.6857786512,76,0.1551881148,57,0.6060397112,87,0.07973894,59,0.1094990111,79,0.0752911106,73,0.0840357919,58,-0.113637799,1,12428.499941,24.57056462,5.4489856713,5.8788799824,5.4102743947,27.566916105,23.904685276,42.9,31.8,7.7,30.9,21.3,21.100238467,15.933306609,14.931848907,84.346594263,80.595272338,1180,43.414275202,211,4.0413713848,22.8,14.340425532
47103,Tennessee,Lincoln,-0.123296165,39,-0.041394307,40,0.0431364179,55,-0.166432582,31,0.0360986368,53,-0.038870165,32,-0.062352144,39,0.0237293658,71,10475.761684,23.469568801,5.1405102779,5.6344758704,5.1488644109,26.538266296,22.993780617,35.4,26.9,7.6,35.4,27.5,38.559995204,16.636686791,15.601924505,83.486855941,81.098379162,3329,43.408527839,605,3.5798816568,18.6,11.45106383
47105,Tennessee,Loudon,-0.968414099,11,-0.629258123,12,-0.392775427,17,-0.575638673,5,-0.23329523,8,-0.16811086,8,-0.304243319,14,0.0763912867,93,8963.5627931,19.778611631,4.6892105765,5.2195848272,4.786206504,22.304263819,19.065119977,24.8,18.0,7.7,26.3,20.0,52.397232062,17.589205559,16.646211475,86.184743151,84.211141736,5181,49.764671982,801,3.3803173531,14.2,8.8382978723
47107,Tennessee,McMinn,0.2119117273,60,-0.053885683,38,0.2535864813,72,-0.041674754,43,-0.002786836,41,-0.025647254,36,-0.04493065,41,0.0194790567,68,11205.822948,23.770116219,5.2462724832,5.6414546314,5.1540579735,26.205099491,22.261595108,35.9,30.5,7.4,34.5,29.0,50.443883213,15.20548981,14.323842919,84.4831263,82.708886243,5946,47.598463016,902,3.7772194305,20.1,12.474468085
47109,Tennessee,McNairy,0.1403352393,56,0.2833430181,74,0.1915307662,69,-0.051195527,40,0.0755274407,70,0.0196534586,52,0.1942733379,74,-0.006111219,42,10990.548725,26.603370085,5.8222992608,6.0510428993,5.5769585045,29.048621114,25.225890013,31.6,24.4,7.2,38.1,30.8,37.077660594,15.716136119,14.708003001,82.61754193,80.623288418,2749,47.144572115,450,5.2447552448,24.3,16.19787234
47111,Tennessee,Macon,0.4971543703,71,0.3457516291,78,0.0699311057,62,0.4272232646,84,0.1055995515,77,0.3077100705,95,-0.046893542,40,-0.02066445,28,10568.713728,26.385350287,5.8345699945,6.0490516008,5.573817869,28.960805638,25.334723819,35.6,26.4,7.9,38.0,28.7,40.925026969,15.193476203,14.229103891,80.289421158,77.772346942,2645,45.524956971,356,3.1132487976,20.6,12.021276596
