Store No.,Name,Latitude,Longitude,Address,Street,City,State,Zip_Code,County,URL,Provider,Category,Status,Direction URL,geometry
7695,Arbys Portland,36.5779197,-86.5140591,"304 S Broadway Ste G, Portland, TN, 37148",304 S Broadway Ste G,Portland,TN,37148,Sumner,https://locations.arbys.com/tn/portland/304-s-broadway-ste-g.html,Arbys,Food Chains,Open,"https://www.google.com/maps/dir/Current+Location/304+S+Broadway+Ste+G,+Portland,+TN,+37148,+USA/",POINT (-86.5140591 36.5779197)
8040,Arbys Memphis,35.049979,-89.8056708,"7734 Winchester Rd, Memphis, TN, 38125",7734 Winchester Rd,Memphis,TN,38125,Shelby,https://locations.arbys.com/tn/memphis/7734-winchester-rd..html,Arbys,Food Chains,Open,"https://www.google.com/maps/dir/Current+Location/7734+Winchester+Rd,+Memphis,+TN,+38125,+USA/",POINT (-89.8056708 35.049979)
618,Arbys Knoxville,36.0037197,-83.9787666,"5228 Clinton Hwy, Knoxville, TN, 37912",5228 Clinton Hwy,Knoxville,TN,37912,Knox,https://locations.arbys.com/tn/knoxville/5228-clinton-hwy.html,Arbys,Food Chains,Open,"https://www.google.com/maps/dir/Current+Location/5228+Clinton+Hwy,+Knoxville,+TN,+37912,+USA/",POINT (-83.9787666 36.0037197)
6576,Arbys Ooltewah,35.083928,-85.0633248,"9200 Lee Highway, Ooltewah, TN, 37363",9200 Lee Highway,Ooltewah,TN,37363,Hamilton,https://locations.arbys.com/tn/ooltewah/9200-lee-highway.html,Arbys,Food Chains,Open,"https://www.google.com/maps/dir/Current+Location/9200+Lee+Highway,+Ooltewah,+TN,+37363,+USA/",POINT (-85.0633248 35.083928)
6060,Arbys Jonesborough,36.3000628,-82.4690564,"405 E Jackson Blvd, Jonesborough, TN, 37659",405 E Jackson Blvd,Jonesborough,TN,37659,Washington,https://locations.arbys.com/tn/jonesborough/405-e-jackson-blvd.html,Arbys,Food Chains,Open,"https://www.google.com/maps/dir/Current+Location/405+E+Jackson+Blvd,+Jonesborough,+TN,+37659,+USA/",POINT (-82.4690564 36.3000628)
86,Arbys Collierville,35.0457244,-89.694125,"967 W Poplar Avenue, Collierville, TN, 38017",967 W Poplar Avenue,Collierville,TN,38017,Shelby,https://locations.arbys.com/tn/collierville/967-w-poplar-avenue.html,Arbys,Food Chains,Open,"https://www.google.com/maps/dir/Current+Location/967+W+Poplar+Avenue,+Collierville,+TN,+38017,+USA/",POINT (-89.694125 35.0457244)
1590,Arbys Maryville,35.7516812,-83.9973641,"816 Foothills Dr, Maryville, TN, 37801",816 Foothills Dr,Maryville,TN,37801,Blount,https://locations.arbys.com/tn/maryville/816-foothills-dr.html,Arbys,Food Chains,Open,"https://www.google.com/maps/dir/Current+Location/816+Foothills+Dr,+Maryville,+TN,+37801,+USA/",POINT (-83.9973641 35.7516812)
1694,Arbys Kingsport,36.5506621,-82.6378725,"4532 W Stone Dr, Kingsport, TN, 37660",4532 W Stone Dr,Kingsport,TN,37660,Sullivan,https://locations.arbys.com/tn/kingsport/4532-w-stone-dr.html,Arbys,Food Chains,Open,"https://www.google.com/maps/dir/Current+Location/4532+W+Stone+Dr,+Kingsport,+TN,+37660,+USA/",POINT (-82.6378725 36.5506621)
5540,Arbys Gallatin,36.3894633,-86.4407348,"307 E Main St, Gallatin, TN, 37066",307 E Main St,Gallatin,TN,37066,Sumner,https://locations.arbys.com/tn/gallatin/307-e-main-st.html,Arbys,Food Chains,Open,"https://www.google.com/maps/dir/Current+Location/307+E+Main+St,+Gallatin,+TN,+37066,+USA/",POINT (-86.4407348 36.3894633)
1666,Arbys Clarksville,36.6383586,-87.4358364,"3325 Fort Campbell Blvd, Clarksville, TN, 37042",3325 Fort Campbell Blvd,Clarksville,TN,37042,Montgomery,https://locations.arbys.com/tn/clarksville/3325-fort-campbell-blvd.html,Arbys,Food Chains,Open,"https://www.google.com/maps/dir/Current+Location/3325+Fort+Campbell+Blvd,+Clarksville,+TN,+37042,+USA/",POINT (-87.4358364 36.6383586)
